Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
Edward D. O’Connell	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	8/26/1956	13 Top
Joseph O’Flaherty	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/4/1944	16 Top
James J. O’Leary	Driver	ROCHESTER FIRE DEPARTMENT	11/9/1902	13 Bottom
Raymond H. Brooder	Lieutenant	CORNING FIRE DEPARTMENT	1/4/1964	11 Bottom 
John O’Hanlon	Firefighter	UTICA FIRE DEPARTMENT	09/28/1897	14 Bottom
Thomas G. O’Hagan	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Bottom
Thomas H. O’Connor	Driver	ALBANY FIRE DEPARTMENT	05/06/1892	14 Bottom
Louis P. Pelligrino	Firefighter	TERRY’S CORNERS FIRE DEPARTMENT	1/1/1986	12 Top
John O’Niell	Firefighter	NEW YORK CITY FIRE DEPARTMENT	08/16/1874	16 Bottom
Ernest A. Duquette	Firefighter	GLEN PARK FIRE DEPARTMENT	5/12/1983	12 Top 
John J. O’Keefe	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/17/1966	11 Bottom
Michael J. O’Toole	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/26/1902	13 Bottom
Ronald L. O’Rourke	Captain	ROOSEVELT FIRE DEPARTMENT	1/4/1993	10 Top
J. C. O’Shaunessy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	05/11/1887	15 Bottom
Raymond W. Allison	Chief’s Aide	JAMESTOWN FIRE DEPARTMENT	6/14/1934	10 Bottom
Phillip C. D’ Adamo	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/1/1984	12 Top
Kevin M. O’Rourke	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Top
John O’Brien	Assistant Foreman	ALBANY FIRE DEPARTMENT	04/07/1871	16 Bottom
James O’Kane	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/30/1955	14 Top
Michael O’Brien	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/30/1853	18 Bottom
William O’Sullivan	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	3/8/1956	13 Top
Theodore J. O’Donnell	Firefighter	ALBANY FIRE DEPARTMENT	1/21/1955	14 Top
William O’Donnell	Firefighter	BUFFALO FIRE DEPARTMENT	1/8/1901	13 Bottom
Felix A. D’Avignon	Firefighter	MECHANICVILLE FIRE DEPARTMENT	2/25/1945	21 Bottom
James O’Donnell	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	5/29/1932	20 Top
John J. O’Rourke	Firefighter	MOUNT VERNON FIRE DEPARTMENT	1/30/1943	16 Top
